"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"98","@hitRECord @Dystopika 👍❤️",FALSE,1,"hitRECord",2018-12-10 02:25:07,FALSE,"1071880919185641472","1071953928953094144","24815314","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","takiun_aney",0,FALSE,FALSE,NA,NA
"99","@sarahdaly42 @brainpickings @hitRECord Very cool! ❤️",FALSE,1,"sarahdaly42",2018-12-10 01:55:55,FALSE,"1071941706063458304","1071946580285120512","40348848","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ViciousVixxenV",0,FALSE,FALSE,NA,NA
"100","I'd forgotten about this wonderful @brainpickings piece on my song Iterations, which the @hitRECord community trans… https://t.co/bmwdSaHBOs",FALSE,26,NA,2018-12-10 01:36:33,TRUE,NA,"1071941706063458304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sarahdaly42",4,FALSE,FALSE,NA,NA
"101","@hitRECord I animated this but the illustration was by the extremely talented brigi_bre: https://t.co/4VWVim32MU",FALSE,5,"hitRECord",2018-12-10 00:52:58,FALSE,"1071880919185641472","1071930739002884097","24815314","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dystopika",0,FALSE,FALSE,NA,NA
"102","Less than 50 of these puppies left: https://t.co/yfDoNLeFmS

(Shoutout to @jason_angelone for the remix of me heh) https://t.co/wUyA6908Ze",FALSE,144,NA,2018-12-10 00:09:02,FALSE,NA,"1071919684939849728",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",15,FALSE,FALSE,NA,NA
"103","Just turned 8 (in @hitRECord years)!!!  https://t.co/heFjHEhBzL Thank you for making these 8 years so memorable, hi… https://t.co/NOTp8ybtQ0",FALSE,5,NA,2018-12-09 23:24:35,TRUE,NA,"1071908497653153792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RosellaWeigand",0,FALSE,FALSE,NA,NA
"104","@hitRECordJoe just joined @hitRECord! as a young aspiring artist this is a great opportunity to get my work out the… https://t.co/vaOqqSvCVv",FALSE,0,"hitRECordJoe",2018-12-09 23:20:40,TRUE,NA,"1071907511547121664","24807616","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexisnicoleart",0,FALSE,FALSE,NA,NA
"105","@hitRECord sent a newsletter and I found my face! I was wondering where I left it 🥁 https://t.co/3uxkmeEnTI",FALSE,0,"hitRECord",2018-12-09 22:41:24,FALSE,NA,"1071897627791319040","24815314","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","feaien",0,FALSE,FALSE,NA,NA
"106","I remember this! Excellent work! https://t.co/WtcKEGI2EA",FALSE,1,NA,2018-12-09 22:32:47,FALSE,NA,"1071895462985261061",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cjcurcio",0,FALSE,FALSE,NA,NA
"107","Quickly write down your latest dream here: https://t.co/VljrkZS0Np",FALSE,95,NA,2018-12-09 21:56:00,FALSE,NA,"1071886206164701184",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",12,FALSE,FALSE,NA,NA
